nbSms,nbCalls,cumulativeCallDuration,averageCallDuration,isWeekDay,timeInDay,contactType
1,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,0,1,AMI
1,0,0,3.0,0,0,AMI
1,0,0,3.0,0,2,AMI
2,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
0,3,91,30.333334,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
8,0,0,3.0,0,1,AMI
1,0,0,3.0,0,0,AMI
3,0,0,3.0,0,0,AMI
5,0,0,3.0,0,2,AMI
4,0,0,3.0,1,0,AMI
7,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
1,1,3,3.0,1,2,AMI
1,2,264,132.0,1,2,AMI
3,0,0,3.0,1,2,AMI
0,1,146,146.0,1,1,AMI
0,1,76,76.0,1,0,AMI
4,2,19,9.5,1,0,AMI
2,0,0,3.0,0,2,AMI
0,2,2,1.0,1,2,AMI
0,1,482,482.0,1,2,AMI
2,0,0,3.0,1,2,AMI
10,0,0,3.0,1,0,AMI
11,0,0,3.0,1,2,AMI
6,0,0,3.0,0,2,AMI
2,0,0,3.0,0,1,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
1,0,0,3.0,0,2,AMI
5,0,0,3.0,0,1,AMI
3,0,0,3.0,0,1,AMI
1,0,0,3.0,1,0,AMI
3,0,0,3.0,1,1,AMI
1,0,0,3.0,0,0,AMI
7,0,0,3.0,1,2,AMI
1,0,0,3.0,0,2,AMI
5,0,0,3.0,1,2,AMI
6,0,0,3.0,1,1,AMI
2,0,0,3.0,1,2,AMI
1,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
7,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
3,0,0,3.0,1,0,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
20,0,0,3.0,1,0,AMI
0,1,46,46.0,1,2,AMI
1,0,0,3.0,1,0,AMI
2,0,0,3.0,1,0,AMI
2,2,55,27.5,1,2,AMI
1,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
9,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
15,0,0,3.0,1,0,AMI
3,0,0,3.0,1,0,AMI
15,0,0,3.0,1,0,AMI
8,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
0,1,0,0.0,1,0,AMI
2,4,172,43.0,0,2,AMI
1,0,0,3.0,0,2,FAMILLE
0,2,43,21.5,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,2,FAMILLE
0,1,0,0.0,0,2,COLLEGUE
1,0,0,3.0,0,2,AMI
0,1,514,514.0,0,0,FAMILLE
1,1,148,148.0,1,1,FAMILLE
0,1,1303,1303.0,0,2,FAMILLE
1,0,0,3.0,1,0,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,1,29,29.0,1,0,FAMILLE
0,1,35,35.0,1,1,FAMILLE
0,1,77,77.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
0,1,114,114.0,0,1,AMI
0,2,1654,827.0,0,0,AMI
2,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
2,0,0,3.0,1,2,AMI
2,0,0,3.0,1,1,AMI
11,0,0,3.0,1,1,AMI
1,0,0,3.0,1,0,AMI
4,0,0,3.0,1,2,AMI
7,0,0,3.0,1,2,AMI
4,0,0,3.0,1,2,AMI
3,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
3,0,0,3.0,1,2,AMI
4,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
1,0,0,3.0,1,2,AMI
0,1,122,122.0,1,2,AMI
0,3,1017,339.0,1,2,AMI
1,0,0,3.0,1,2,AMI
0,3,66,22.0,1,0,AMI
0,1,53,53.0,1,1,AMI
0,1,42,42.0,1,2,AMI
0,1,15,15.0,1,1,AMI
1,0,0,3.0,0,0,AMI
1,0,0,3.0,1,2,AMI
6,0,0,3.0,1,1,AMI
3,0,0,3.0,1,1,AMI
6,0,0,3.0,1,0,AMI
17,0,0,3.0,1,0,AMI
2,0,0,3.0,1,2,AMI
6,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
5,0,0,3.0,1,0,AMI
1,0,0,3.0,1,1,AMI
2,0,0,3.0,1,1,AMI
2,0,0,3.0,1,0,AMI
5,0,0,3.0,1,2,AMI
1,0,0,3.0,1,0,AMI
1,0,0,3.0,1,2,AMI
12,0,0,3.0,1,1,AMI
1,1,100,100.0,1,2,AMI
2,0,0,3.0,1,0,AMI
3,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,0,0,FAMILLE
1,0,0,3.0,0,2,FAMILLE
0,1,45,45.0,1,2,FAMILLE
2,0,0,3.0,1,1,FAMILLE
1,0,0,3.0,1,2,FAMILLE
1,0,0,3.0,1,1,FAMILLE
0,1,59,59.0,0,1,FAMILLE
1,0,0,3.0,1,2,FAMILLE
0,1,0,0.0,1,0,AMI
0,1,200,200.0,1,2,AMI
3,0,0,3.0,1,2,AMI
